sourceTaxonId;sourceTaxonName;sourceLifestageName;interactionTypeName;targetGenericItemName;localityName;reference1Id;reference2Id;reference3Id;reference4Id
A58;Rana latastei;all;eats;algae;EUROPE;HERPref7;;;
A58;Rana latastei;all;eats;detritus;EUROPE;HERPref7;;;
A58;Rana latastei;all;eats;other plant parts;EUROPE;HERPref7;;;
A58;Rana latastei;all;eats;invertebrates;EUROPE;HERPref7;;;
A59;Pelophylax lessonae;all;eats;algae;EUROPE;HERPref4;HERPref5;HERPref7;
A59;Pelophylax lessonae;all;eats;detritus;EUROPE;HERPref4;HERPref5;HERPref7;
A59;Pelophylax lessonae;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;HERPref7;
A59;Pelophylax lessonae;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;HERPref7;
A59;Pelophylax lessonae;all;eats;fish;EUROPE;HERPref4;HERPref5;HERPref7;
A60;Rana macrocnemis;all;eats;algae;EUROPE;HERPref13;;;
A60;Rana macrocnemis;all;eats;detritus;EUROPE;HERPref13;;;
A60;Rana macrocnemis;all;eats;other plant parts;EUROPE;HERPref13;;;
A60;Rana macrocnemis;all;eats;invertebrates;EUROPE;HERPref13;;;
A61;Pelophylax perezi;all;eats;algae;EUROPE;HERPref6;;;
A61;Pelophylax perezi;all;eats;detritus;EUROPE;HERPref6;;;
A61;Pelophylax perezi;all;eats;other plant parts;EUROPE;HERPref6;;;
A61;Pelophylax perezi;all;eats;invertebrates;EUROPE;HERPref6;;;
A62;Rana pyrenaica;all;eats;algae;EUROPE;HERPref14;;;
A62;Rana pyrenaica;all;eats;detritus;EUROPE;HERPref14;;;
A62;Rana pyrenaica;all;eats;other plant parts;EUROPE;HERPref14;;;
A62;Rana pyrenaica;all;eats;invertebrates;EUROPE;HERPref14;;;
A63;Pelophylax ridibundus;all;eats;algae;EUROPE;HERPref4;HERPref5;;
A63;Pelophylax ridibundus;all;eats;detritus;EUROPE;HERPref4;HERPref5;;
A63;Pelophylax ridibundus;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;;
A63;Pelophylax ridibundus;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;;
A63;Pelophylax ridibundus;all;eats;fish;EUROPE;HERPref4;HERPref5;;
A65;Rana tavasensis;all;eats;algae;EUROPE;HERPref15;;;
A65;Rana tavasensis;all;eats;detritus;EUROPE;HERPref15;;;
A65;Rana tavasensis;all;eats;other plant parts;EUROPE;HERPref15;;;
A65;Rana tavasensis;all;eats;invertebrates;EUROPE;HERPref15;;;
A66;Rana temporaria;all;eats;algae;EUROPE;HERPref4;HERPref6;HERPref7;
A66;Rana temporaria;all;eats;detritus;EUROPE;HERPref4;HERPref6;HERPref7;
A66;Rana temporaria;all;eats;other plant parts;EUROPE;HERPref4;HERPref6;HERPref7;
A66;Rana temporaria;all;eats;invertebrates;EUROPE;HERPref4;HERPref6;HERPref7;
A67;Salamandra atra;all;eats;invertebrates;EUROPE;HERPref4;HERPref7;HERPref17;
A68;Salamandra corsica;all;eats;invertebrates;EUROPE;HERPref7;HERPref17;;
A69;Salamandra infraimmaculata;all;eats;invertebrates;EUROPE;HERPref16;;;
A70;Salamandra lanzai;all;eats;invertebrates;EUROPE;HERPref7;;;
A71;Salamandra salamandra;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;HERPref7;
A72;Salamandrella keyserlingii;all;eats;invertebrates;EUROPE;HERPef18;;;
A73;Salamandrina perspicillata;all;eats;invertebrates;EUROPE;HERPref7;;;
A74;Salamandrina terdigitata;all;eats;invertebrates;EUROPE;HERPref7;;;
A75;Speleomantes ambrosii;all;eats;invertebrates;EUROPE;HERPref7;;;
A76;Speleomantes flavus;all;eats;invertebrates;EUROPE;HERPref7;;;
A77;Speleomantes genei;all;eats;invertebrates;EUROPE;HERPref7;;;
A78;Speleomantes imperialis;all;eats;invertebrates;EUROPE;HERPref7;;;
A79;Speleomantes italicus;all;eats;invertebrates;EUROPE;HERPref7;;;
A80;Speleomantes sarrabusensis;all;eats;invertebrates;EUROPE;HERPref7;;;
A81;Speleomantes strinatii;all;eats;invertebrates;EUROPE;HERPref7;;;
A82;Speleomantes supramontis;all;eats;invertebrates;EUROPE;HERPref7;;;
A83;Ichthyosaura alpestris;all;eats;invertebrates;EUROPE;HERPref4;HERPref7;;
A84;Lissotriton boscai;all;eats;invertebrates;EUROPE;HERPref6;;;
A85;Triturus carnifex;all;eats;invertebrates;EUROPE;HERPref4;HERPref7;;
A86;Triturus cristatus;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;;
A87;Triturus dobrogicus;all;eats;invertebrates;EUROPE;HERPref4;;;
A88;Lissotriton helveticus;all;eats;invertebrates;EUROPE;HERPref4;HERPref6;;
A89;Lissotriton italicus;all;eats;invertebrates;EUROPE;HERPref7;;;
